id	gender	role	language_english	duration_in_days	publications	organic_tweets	follower_global	followees_global	follower_researcher	follower_researcher_phd	follower_researcher_prof	follower_researcher_male	follower_researcher_female	follower_researcher_male_phd	follower_researcher_male_prof	follower_researcher_female_phd	follower_researcher_female_prof	follower_reciprocal_researcher	follower_reciprocal_researcher_phd	follower_reciprocal_researcher_prof	follower_reciprocal_researcher_male	follower_reciprocal_researcher_female	follower_reciprocal_researcher_male_phd	follower_reciprocal_researcher_male_prof	follower_reciprocal_researcher_female_phd	follower_reciprocal_researcher_female_prof	633	NA	NA	1	2728	24	277	92876	1056	844	151	98	402	159	54	50	30	18	75	6	18	36	18	1	8	2	6
1039531	male	professor	1	2486	4	70	27078	2015	247	39	39	144	44	20	23	9	7	43	5	12	23	14	1	7	4	4
1051171	male	NA	1	2486	2	1275	32081	1232	225	37	28	109	45	15	13	10	6	37	3	9	20	11	1	4	1	3
1062201	male	NA	1	2485	5	4	146	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1078971	female	NA	1	2485	5	162	1264	555	8	0	2	5	1	0	2	0	0	7	0	2	4	1	0	2	0	0
1099471	male	NA	1	2485	1	1	29	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1104551	male	NA	1	2485	18	21	210	161	31	2	3	16	7	1	3	0	0	13	1	1	6	4	1	1	0	0
1111871	NA	NA	1	2485	21	341	1891	2032	90	15	1	54	12	7	1	2	0	65	8	1	43	10	4	1	2	0
1119501	male	NA	1	2485	4	50	1391	485	31	1	0	21	0	1	0	0	0	17	1	0	17	0	1	0	0	0
1121591	male	NA	1	2485	2	886	3064	2119	59	8	3	41	5	5	2	1	0	34	2	2	24	4	1	1	1	0
1147031	male	NA	1	2484	18	870	3859	1139	36	6	1	21	8	2	1	1	0	14	1	0	9	5	1	0	0	0
1148081	male	NA	1	2484	22	251	1007	1794	36	4	5	22	8	2	3	2	0	29	2	5	19	6	2	3	0	0
1153581	male	NA	1	2484	66	124	2220	2138	223	37	10	115	36	16	6	7	2	144	23	9	80	24	9	6	6	2
1175221	male	NA	1	2484	1	618	198697	1299	137	8	11	85	22	7	8	0	2	22	0	3	15	5	0	2	0	1
1179641	male	NA	1	2484	1	42	168	211	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0
1230801	male	NA	1	2483	6	446	12687	97	97	6	10	63	15	4	9	0	1	5	0	1	4	1	0	1	0	0
1235151	male	NA	1	2483	10	209	567	505	9	1	4	5	3	0	3	1	1	9	1	4	5	3	0	3	1	1
1235521	male	NA	1	2483	7	1258	30444	861	209	14	12	144	11	8	10	0	0	24	0	0	18	2	0	0	0	0
1246421	male	NA	1	2483	6	459	4036	4435	267	36	12	164	36	18	9	7	2	174	19	7	111	31	9	6	7	1
1289331	male	NA	1	2482	3	313	458	881	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1290351	female	NA	1	2482	4	943	4798	613	118	26	21	50	35	6	12	11	4	38	3	11	14	11	0	6	1	2
1298061	male	NA	1	2482	3	124	6150	2486	11	0	1	6	2	0	1	0	0	7	0	1	3	2	0	1	0	0
1298261	male	NA	1	2482	2	101	407	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
